"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2015,121,114,7,0,0,0,0,94,45,24,0,0,0,0,115,6
"Aberdeen, WA","10140",2015,343,330,13,0,0,0,0,64,38,22,0,0,0,0,343,0
"Adjuntas, PR","10260",2015,91,85,6,0,0,0,0,59,41,20,0,0,0,0,91,0
"Adrian, MI","10300",2015,348,276,72,0,0,0,0,91,62,42,0,0,138,0,210,0
"Akron, OH","10420",2015,365,177,187,1,0,0,0,135,75,52,1,0,53,2,309,0
"Albany, GA","10500",2015,365,230,134,1,0,0,0,115,65,42,0,0,0,0,365,0
"Albany, OR","10540",2015,365,307,53,2,3,0,0,179,56,23,0,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2015,365,295,68,2,0,0,0,107,56,38,0,0,257,0,108,0
"Albuquerque, NM","10740",2015,365,201,160,4,0,0,0,108,74,49,0,3,262,0,52,48
"Alexandria, LA","10780",2015,118,106,12,0,0,0,0,65,51,27,0,0,0,0,118,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2015,365,184,175,6,0,0,0,119,79,50,0,16,139,0,210,0
"Altoona, PA","11020",2015,365,236,127,2,0,0,0,108,67,44,0,0,149,3,213,0
"Amarillo, TX","11100",2015,365,303,61,1,0,0,0,128,58,42,0,0,333,1,31,0
"Americus, GA","11140",2015,245,236,8,1,0,0,0,129,48,34,0,0,245,0,0,0
"Ames, IA","11180",2015,213,202,11,0,0,0,0,77,48,36,0,0,213,0,0,0
"Anchorage, AK","11260",2015,365,264,90,10,1,0,0,154,76,35,1,0,130,0,170,64
"Ann Arbor, MI","11460",2015,365,272,93,0,0,0,0,99,63,42,0,0,197,0,168,0
"Appleton, WI","11540",2015,362,297,65,0,0,0,0,98,60,38,0,0,161,0,201,0
"Ardmore, OK","11620",2015,283,253,29,0,1,0,0,152,51,25,0,0,0,0,283,0
"Arkadelphia, AR","11660",2015,320,305,15,0,0,0,0,87,45,33,0,0,320,0,0,0
"Asheville, NC","11700",2015,363,282,80,1,0,0,0,101,64,42,0,0,185,0,178,0
"Ashtabula, OH","11780",2015,365,319,43,3,0,0,0,143,54,31,0,0,208,157,0,0
"Athens, OH","11900",2015,57,50,7,0,0,0,0,67,54,28,0,0,0,0,57,0
"Athens, TN","11940",2015,110,92,18,0,0,0,0,63,54,32,0,0,0,0,110,0
"Athens-Clarke County, GA","12020",2015,358,302,56,0,0,0,0,97,54,38,0,0,148,0,210,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2015,365,140,209,14,2,0,0,172,89,55,0,4,127,0,234,0
"Atlantic City-Hammonton, NJ","12100",2015,365,318,45,2,0,0,0,122,57,37,0,0,322,5,38,0
