"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Moscow, ID","34140",2013,34,34,0,0,0,0,0,27,17,10,0,0,0,0,34,0
"Moses Lake, WA","34180",2013,337,294,43,0,0,0,0,85,53,24,0,0,0,0,337,0
"Mount Vernon, IL","34500",2013,210,175,35,0,0,0,0,87,61,41,0,0,210,0,0,0
"Mount Vernon, OH","34540",2013,214,182,30,2,0,0,0,108,58,40,0,0,214,0,0,0
"Mount Vernon-Anacortes, WA","34580",2013,365,344,21,0,0,0,0,60,46,32,0,3,173,0,189,0
"Muncie, IN","34620",2013,239,197,42,0,0,0,0,87,57,39,0,0,151,0,88,0
"Muscatine, IA","34700",2013,365,138,169,54,4,0,0,172,113,56,0,0,0,112,253,0
"Muskegon, MI","34740",2013,210,149,55,6,0,0,0,126,74,42,0,0,171,0,39,0
"Muskogee, OK","34780",2013,365,345,20,0,0,0,0,69,41,21,0,0,0,45,0,320
"Napa, CA","34900",2013,365,218,144,3,0,0,0,119,70,44,0,4,129,0,232,0
"Naples-Immokalee-Marco Island, FL","34940",2013,365,318,47,0,0,0,0,74,52,34,0,0,204,0,161,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2013,365,226,138,1,0,0,0,101,64,47,0,1,150,0,214,0
"New Castle, IN","35220",2013,120,85,35,0,0,0,0,85,59,37,0,0,0,0,120,0
"New Castle, PA","35260",2013,365,333,29,3,0,0,0,136,50,34,0,0,322,11,0,32
"New Haven-Milford, CT","35300",2013,365,182,168,12,3,0,0,159,80,51,0,7,148,0,210,0
"New Orleans-Metairie, LA","35380",2013,365,212,126,23,4,0,0,200,79,47,0,2,159,51,151,2
"New York-Newark-Jersey City, NY-NJ-PA","35620",2013,365,151,193,18,3,0,0,159,90,54,0,45,137,0,183,0
"Niles-Benton Harbor, MI","35660",2013,240,172,63,5,0,0,0,126,77,42,0,0,174,0,66,0
"Nogales, AZ","35700",2013,344,253,86,3,2,0,0,159,64,36,0,0,0,0,122,222
"North Port-Sarasota-Bradenton, FL","35840",2013,365,295,66,4,0,0,0,122,58,40,0,0,224,0,141,0
"Norwich-New London, CT","35980",2013,349,225,117,4,3,0,0,164,64,46,0,0,103,0,246,0
"Ocala, FL","36100",2013,365,306,59,0,0,0,0,90,54,37,0,0,181,0,184,0
"Odessa, TX","36220",2013,365,318,46,1,0,0,0,112,53,30,0,0,0,0,365,0
"Ogden-Clearfield, UT","36260",2013,365,159,162,39,5,0,0,162,109,54,0,14,203,1,145,2
"Oklahoma City, OK","36420",2013,365,201,156,8,0,0,0,147,77,48,0,18,220,0,127,0
"Olympia-Tumwater, WA","36500",2013,364,289,72,3,0,0,0,132,62,32,0,0,141,0,223,0
"Omaha-Council Bluffs, NE-IA","36540",2013,365,186,174,5,0,0,0,128,72,50,0,0,117,18,158,72
"Orlando-Kissimmee-Sanford, FL","36740",2013,365,310,52,3,0,0,0,112,56,39,0,0,256,0,109,0
"Othello, WA","36830",2013,342,333,9,0,0,0,0,59,30,15,0,0,0,0,342,0
"Ottawa-Peru, IL","36860",2013,347,347,0,0,0,0,0,17,6,1,0,0,0,347,0,0
"Owensboro, KY","36980",2013,365,263,100,2,0,0,0,110,64,42,0,21,169,17,158,0
"Oxford, NC","37080",2013,214,191,23,0,0,0,0,93,51,38,0,0,214,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2013,365,182,172,10,1,0,0,159,77,51,0,6,234,0,120,5
"Paducah, KY-IL","37140",2013,365,281,83,1,0,0,0,108,60,39,0,25,184,5,149,2
"Pahrump, NV","37220",2013,365,352,12,1,0,0,0,133,34,18,0,0,0,0,0,365
