"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",1987,83,81,2,0,0,0,0,54,40,21,0,0,0,0,0,83
"Aberdeen, WA","10140",1987,365,154,125,82,4,0,0,194,116,69,0,0,0,365,0,0
"Akron, OH","10420",1987,365,146,114,84,19,2,0,215,133,67,61,0,120,175,0,9
"Albany, OR","10540",1987,13,9,4,0,0,0,0,73,71,36,0,0,0,0,0,13
"Albany-Schenectady-Troy, NY","10580",1987,365,224,115,23,2,1,0,201,87,45,9,0,197,154,0,5
"Albuquerque, NM","10740",1987,365,113,194,49,6,3,0,207,115,67,114,18,229,0,0,4
"Allentown-Bethlehem-Easton, PA-NJ","10900",1987,365,197,113,34,16,5,0,218,122,49,33,59,168,103,0,2
"Alpena, MI","10980",1987,48,43,5,0,0,0,0,69,60,20,0,0,0,0,0,48
"Altoona, PA","11020",1987,358,206,114,30,7,1,0,202,103,47,0,0,211,135,0,12
"Amarillo, TX","11100",1987,46,46,0,0,0,0,0,39,30,17,0,0,0,0,0,46
"Ames, IA","11180",1987,365,291,42,29,3,0,0,178,87,14,0,0,0,365,0,0
"Anchorage, AK","11260",1987,348,210,129,9,0,0,0,138,74,43,172,0,0,0,0,176
"Ann Arbor, MI","11460",1987,213,148,37,24,3,1,0,203,105,44,0,0,213,0,0,0
"Appleton, WI","11540",1987,184,145,29,9,1,0,0,156,77,38,0,0,184,0,0,0
"Asheville, NC","11700",1987,231,168,57,5,1,0,0,161,74,44,0,0,204,0,0,27
"Ashtabula, OH","11780",1987,361,232,83,35,10,1,0,218,107,41,0,0,160,201,0,0
"Athens, TN","11940",1987,335,266,63,6,0,0,0,135,69,33,0,145,0,190,0,0
"Atlanta-Sandy Springs-Roswell, GA","12060",1987,365,100,136,78,39,12,0,237,163,77,20,68,186,90,0,1
"Atlantic City-Hammonton, NJ","12100",1987,353,237,62,30,16,8,0,214,126,41,0,0,287,43,0,23
"Augusta-Richmond County, GA-SC","12260",1987,365,225,86,47,7,0,0,177,112,44,0,0,351,13,0,1
"Augusta-Waterville, ME","12300",1987,270,238,26,4,2,0,0,185,57,34,0,0,203,0,0,67
"Austin-Round Rock, TX","12420",1987,364,265,73,23,3,0,0,179,87,40,0,0,344,2,0,18
"Bakersfield, CA","12540",1987,365,87,121,54,71,32,0,227,195,80,7,93,229,13,0,23
"Baltimore-Columbia-Towson, MD","12580",1987,365,61,185,69,26,24,0,248,169,76,25,81,125,130,0,4
"Bangor, ME","12620",1987,365,128,171,61,5,0,0,200,108,62,0,0,0,359,0,6
"Barnstable Town, MA","12700",1987,178,128,38,6,5,1,0,203,90,40,0,0,178,0,0,0
"Barre, VT","12740",1987,275,256,19,0,0,0,0,66,47,21,0,0,0,186,0,89
"Baton Rouge, LA","12940",1987,365,115,158,68,21,3,0,227,140,69,0,67,175,118,0,5
