"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, WA","10140",1988,366,125,137,92,12,0,0,200,125,69,0,0,0,366,0,0
"Akron, OH","10420",1988,366,105,133,84,24,20,0,249,159,75,7,0,134,225,0,0
"Albany, OR","10540",1988,56,44,12,0,0,0,0,67,57,32,0,0,0,0,0,56
"Albany-Schenectady-Troy, NY","10580",1988,366,207,108,30,15,6,0,210,110,45,9,0,196,158,0,3
"Albuquerque, NM","10740",1988,366,143,202,19,2,0,0,181,91,54,103,24,211,0,0,28
"Allentown-Bethlehem-Easton, PA-NJ","10900",1988,366,178,116,39,17,16,0,252,143,51,6,74,162,118,0,6
"Alpena, MI","10980",1988,49,46,3,0,0,0,0,54,48,20,0,0,0,0,0,49
"Altoona, PA","11020",1988,361,195,106,31,21,8,0,224,136,49,0,0,210,145,0,6
"Amarillo, TX","11100",1988,8,7,1,0,0,0,0,54,54,28,0,0,0,0,0,8
"Americus, GA","11140",1988,271,165,59,41,6,0,0,190,119,45,0,0,271,0,0,0
"Ames, IA","11180",1988,366,255,54,50,7,0,0,199,109,16,0,0,0,366,0,0
"Anchorage, AK","11260",1988,365,221,132,12,0,0,0,148,83,44,170,0,0,0,0,195
"Ann Arbor, MI","11460",1988,214,122,48,18,22,4,0,217,156,47,0,0,214,0,0,0
"Appleton, WI","11540",1988,182,113,34,24,10,1,0,202,133,44,0,0,182,0,0,0
"Asheville, NC","11700",1988,156,59,64,26,7,0,0,195,115,64,0,0,123,0,0,33
"Ashtabula, OH","11780",1988,335,200,79,30,16,10,0,242,136,43,0,0,161,174,0,0
"Athens, TN","11940",1988,366,303,51,11,1,0,0,171,62,29,0,166,0,200,0,0
"Atlanta-Sandy Springs-Roswell, GA","12060",1988,366,100,130,85,33,18,0,251,169,80,7,85,175,96,0,3
"Atlantic City-Hammonton, NJ","12100",1988,359,245,65,28,13,8,0,229,119,41,0,0,276,67,0,16
"Augusta-Richmond County, GA-SC","12260",1988,366,216,98,38,13,1,0,207,119,46,0,1,303,62,0,0
"Augusta-Waterville, ME","12300",1988,257,201,30,16,7,3,0,224,105,37,0,0,201,0,0,56
"Austin-Round Rock, TX","12420",1988,365,266,66,27,6,0,0,190,90,42,3,53,298,4,0,7
"Bakersfield, CA","12540",1988,366,63,119,63,73,48,0,223,203,101,4,86,256,4,0,16
"Baltimore-Columbia-Towson, MD","12580",1988,366,79,172,58,22,35,0,261,197,71,42,63,136,118,0,7
"Bangor, ME","12620",1988,366,209,130,26,1,0,0,174,94,46,0,0,0,330,0,36
"Barnstable Town, MA","12700",1988,204,120,35,25,12,12,0,252,164,46,0,0,204,0,0,0
"Barre, VT","12740",1988,153,142,11,0,0,0,0,66,47,22,0,0,0,103,0,50
"Baton Rouge, LA","12940",1988,366,156,138,49,18,5,0,220,126,58,1,78,168,117,0,2
"Battle Creek, MI","12980",1988,273,225,48,0,0,0,0,77,57,29,0,0,0,0,0,273
"Beaumont-Port Arthur, TX","13140",1988,360,128,126,80,19,7,0,226,136,69,3,1,174,182,0,0
"Beaver Dam, WI","13180",1988,184,113,40,24,7,0,0,185,126,44,0,0,184,0,0,0
"Bellingham, WA","13380",1988,366,309,50,6,1,0,0,200,56,33,202,0,0,140,0,24
"Bend-Redmond, OR","13460",1988,247,137,110,0,0,0,0,100,70,48,191,0,0,0,0,56
"Bennington, VT","13540",1988,194,130,31,22,9,2,0,214,122,44,0,0,194,0,0,0
"Berlin, NH-VT","13620",1988,366,141,155,66,4,0,0,176,114,59,0,0,0,287,0,79
"Billings, MT","13740",1988,366,8,41,173,144,0,0,200,185,140,0,0,2,364,0,0
"Birmingham-Hoover, AL","13820",1988,366,172,114,48,21,11,0,223,140,53,106,0,203,3,0,54
"Bishop, CA","13860",1988,79,58,19,0,1,1,0,257,69,34,0,0,0,0,0,79
"Bismarck, ND","13900",1988,366,272,82,11,1,0,0,151,80,37,0,1,324,39,0,2
"Boise City, ID","14260",1988,354,275,78,1,0,0,0,106,61,34,324,0,0,0,0,30
"Boston-Cambridge-Newton, MA-NH","14460",1988,366,17,170,144,14,21,0,248,146,100,6,34,61,265,0,0
"Boulder, CO","14500",1988,366,199,127,38,2,0,0,172,104,48,84,0,253,0,0,29
"Bowling Green, KY","14540",1988,332,212,77,25,12,6,0,209,119,43,0,0,332,0,0,0
"Bozeman, MT","14580",1988,55,51,4,0,0,0,0,69,42,22,0,0,0,0,0,55
"Bremerton-Silverdale, WA","14740",1988,356,287,68,1,0,0,0,103,60,28,356,0,0,0,0,0
"Bridgeport-Stamford-Norwalk, CT","14860",1988,366,136,142,44,16,28,0,259,169,60,21,53,130,160,0,2
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",1988,365,49,117,147,34,18,0,229,174,105,1,32,64,267,0,1
"Burlington-South Burlington, VT","15540",1988,366,307,42,15,2,0,0,185,71,35,21,170,154,20,0,1
"Butte-Silver Bow, MT","15580",1988,354,288,55,9,2,0,0,165,63,26,16,0,0,0,0,338
"Canton-Massillon, OH","15940",1988,366,194,105,35,21,11,0,242,143,49,7,0,164,176,0,19
"Cape Coral-Fort Myers, FL","15980",1988,41,41,0,0,0,0,0,47,41,33,0,0,41,0,0,0
"Carlsbad-Artesia, NM","16100",1988,361,218,92,43,8,0,0,182,107,43,0,90,0,254,0,17
"Carson City, NV","16180",1988,279,220,51,8,0,0,0,147,80,30,137,0,142,0,0,0
"Ca¤on City, CO","15860",1988,335,323,11,1,0,0,0,109,37,18,0,0,0,0,0,335
"Cedar City, UT","16260",1988,13,13,0,0,0,0,0,46,46,22,0,0,0,0,0,13
"Cedar Rapids, IA","16300",1988,366,88,122,137,19,0,0,200,138,91,3,0,85,273,0,5
"Central City, KY","16420",1988,339,197,79,56,7,0,0,200,115,41,0,0,17,322,0,0
"Champaign-Urbana, IL","16580",1988,364,267,62,26,9,0,0,169,97,36,0,0,279,85,0,0
"Charleston, WV","16620",1988,366,129,133,74,22,8,0,230,143,67,0,50,111,201,0,4
"Charleston-Mattoon, IL","16660",1988,54,53,1,0,0,0,0,55,33,18,0,0,0,0,0,54
"Charleston-North Charleston, SC","16700",1988,366,208,104,44,10,0,0,185,112,47,27,0,274,56,0,9
"Charlotte-Concord-Gastonia, NC-SC","16740",1988,366,122,147,58,20,19,0,248,151,62,105,0,229,31,0,1
"Charlottesville, VA","16820",1988,34,32,2,0,0,0,0,76,46,23,0,0,0,0,0,34
"Chattanooga, TN-GA","16860",1988,366,232,66,44,21,3,0,210,133,43,0,0,350,0,0,16
"Cheyenne, WY","16940",1988,54,53,1,0,0,0,0,52,26,16,0,0,0,0,0,54
"Chicago-Naperville-Elgin, IL-IN-WI","16980",1988,366,9,119,164,49,25,0,285,185,111,0,19,81,257,0,9
"Chico, CA","17020",1988,366,235,103,25,3,0,0,166,91,44,66,89,197,0,0,14
"Cincinnati, OH-KY-IN","17140",1988,366,39,125,132,40,30,0,258,195,105,1,25,101,237,0,2
"Clarksville, TN-KY","17300",1988,366,120,124,90,30,2,0,204,147,71,0,0,72,294,0,0
"Clearlake, CA","17340",1988,363,356,7,0,0,0,0,71,38,26,0,0,359,0,0,4
"Cleveland, TN","17420",1988,366,83,105,109,69,0,0,200,172,96,0,26,0,340,0,0
"Cleveland-Elyria, OH","17460",1988,366,29,128,149,37,23,0,239,169,105,5,4,72,276,0,9
