"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",1986,97,94,3,0,0,0,0,54,41,21,0,0,0,0,0,97
"Aberdeen, WA","10140",1986,356,138,87,99,32,0,0,200,143,69,0,0,0,356,0,0
"Akron, OH","10420",1986,365,83,155,117,10,0,0,192,128,80,1,0,109,254,0,1
"Albany, OR","10540",1986,36,26,10,0,0,0,0,87,64,42,0,0,0,0,0,36
"Albany-Schenectady-Troy, NY","10580",1986,365,183,132,45,5,0,0,187,105,50,2,0,128,227,0,8
"Albuquerque, NM","10740",1986,365,160,166,35,4,0,0,195,101,54,148,11,203,0,0,3
"Allentown-Bethlehem-Easton, PA-NJ","10900",1986,365,185,135,32,13,0,0,200,108,50,9,68,147,138,0,3
"Alpena, MI","10980",1986,16,16,0,0,0,0,0,39,32,19,0,0,0,0,0,16
"Altoona, PA","11020",1986,359,210,115,31,3,0,0,174,99,47,0,0,172,156,0,31
"Amarillo, TX","11100",1986,53,52,1,0,0,0,0,57,31,21,0,0,0,0,0,53
"Ames, IA","11180",1986,363,297,37,22,7,0,0,200,89,14,0,0,0,363,0,0
"Anchorage, AK","11260",1986,365,199,151,12,3,0,0,191,76,48,205,0,0,0,0,160
"Ann Arbor, MI","11460",1986,198,161,31,6,0,0,0,143,74,37,0,0,198,0,0,0
"Appleton, WI","11540",1986,184,151,27,6,0,0,0,133,67,35,0,0,184,0,0,0
"Asheville, NC","11700",1986,215,148,51,14,2,0,0,156,97,40,0,0,204,0,0,11
"Ashtabula, OH","11780",1986,365,215,101,40,9,0,0,200,109,46,0,0,118,247,0,0
"Athens, TN","11940",1986,365,302,54,9,0,0,0,142,66,28,0,177,0,188,0,0
"Atlanta-Sandy Springs-Roswell, GA","12060",1986,365,123,134,72,27,9,0,245,150,66,23,112,142,82,0,6
"Atlantic City-Hammonton, NJ","12100",1986,362,241,84,29,6,2,0,208,101,43,101,0,200,45,0,16
"Augusta-Richmond County, GA-SC","12260",1986,362,251,78,23,9,1,0,201,97,41,0,5,311,45,0,1
"Augusta-Waterville, ME","12300",1986,252,226,22,4,0,0,0,150,51,35,0,0,176,0,0,76
"Austin-Round Rock, TX","12420",1986,364,290,61,11,2,0,0,161,71,35,0,0,325,7,0,32
"Bakersfield, CA","12540",1986,365,86,118,70,68,23,0,222,187,89,6,108,225,17,0,9
"Baltimore-Columbia-Towson, MD","12580",1986,365,39,199,84,32,11,0,227,159,84,34,73,112,143,0,3
"Bangor, ME","12620",1986,365,144,172,46,3,0,0,159,104,59,0,0,0,325,0,40
"Baraboo, WI","12660",1986,85,84,1,0,0,0,0,57,35,19,0,0,0,0,0,85
"Barre, VT","12740",1986,276,258,16,2,0,0,0,107,46,23,0,0,0,181,0,95
"Baton Rouge, LA","12940",1986,365,125,158,59,22,1,0,201,136,62,1,59,147,140,0,18
"Battle Creek, MI","12980",1986,115,89,26,0,0,0,0,77,60,29,0,0,0,0,0,115
"Beaumont-Port Arthur, TX","13140",1986,364,154,114,78,17,1,0,217,130,61,2,1,194,167,0,0
"Beaver Dam, WI","13180",1986,177,133,34,10,0,0,0,140,93,41,0,0,177,0,0,0
"Bellingham, WA","13380",1986,325,227,89,8,1,0,0,169,69,29,0,0,0,297,0,28
"Bend-Redmond, OR","13460",1986,61,55,6,0,0,0,0,92,49,27,0,0,0,0,0,61
"Bennington, VT","13540",1986,94,82,7,5,0,0,0,147,64,32,0,0,94,0,0,0
"Berlin, NH-VT","13620",1986,365,86,173,103,3,0,0,180,119,72,0,0,16,326,0,23
"Billings, MT","13740",1986,365,9,58,173,125,0,0,200,187,131,2,0,0,363,0,0
"Birmingham-Hoover, AL","13820",1986,365,166,124,51,19,5,0,224,133,53,73,0,178,25,0,89
"Bishop, CA","13860",1986,12,12,0,0,0,0,0,27,27,20,0,0,0,0,0,12
"Bismarck, ND","13900",1986,364,342,22,0,0,0,0,90,49,35,0,5,303,17,0,39
"Boise City, ID","14260",1986,327,188,136,2,1,0,0,180,77,44,290,0,0,0,0,37
"Boston-Cambridge-Newton, MA-NH","14460",1986,365,12,162,176,15,0,0,190,126,101,17,42,21,285,0,0
"Boulder, CO","14500",1986,364,239,103,18,4,0,0,169,80,44,42,0,255,0,0,67
"Bowling Green, KY","14540",1986,350,241,78,29,2,0,0,177,97,41,0,0,350,0,0,0
"Bozeman, MT","14580",1986,32,26,6,0,0,0,0,67,54,35,0,0,0,0,0,32
"Bremerton-Silverdale, WA","14740",1986,53,38,15,0,0,0,0,77,61,34,53,0,0,0,0,0
"Bridgeport-Stamford-Norwalk, CT","14860",1986,365,115,175,53,16,6,0,218,122,64,39,59,102,165,0,0
