"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2017,122,117,5,0,0,0,0,97,40,23,0,0,0,0,105,17
"Aberdeen, WA","10140",2017,365,344,18,2,1,0,0,159,43,20,0,0,0,0,365,0
"Adjuntas, PR","10260",2017,47,41,6,0,0,0,0,89,55,28,0,0,0,0,47,0
"Adrian, MI","10300",2017,364,302,61,1,0,0,0,101,58,40,0,0,207,0,157,0
"Akron, OH","10420",2017,365,268,97,0,0,0,0,97,60,40,0,0,186,0,179,0
"Albany, GA","10500",2017,356,272,83,0,1,0,0,151,59,38,0,0,0,0,356,0
"Albany, OR","10540",2017,365,295,61,4,5,0,0,177,61,24,0,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2017,365,306,59,0,0,0,0,90,53,39,0,0,256,0,109,0
"Albuquerque, NM","10740",2017,365,165,196,4,0,0,0,119,80,52,0,2,258,0,29,76
"Alexandria, LA","10780",2017,107,97,10,0,0,0,0,65,49,31,0,0,0,0,107,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2017,365,176,183,3,3,0,0,200,77,51,0,1,130,7,227,0
"Altoona, PA","11020",2017,362,291,71,0,0,0,0,88,58,42,0,0,221,0,141,0
"Amarillo, TX","11100",2017,365,248,103,14,0,0,0,130,79,44,0,0,294,55,16,0
"Americus, GA","11140",2017,241,229,12,0,0,0,0,67,47,35,0,0,241,0,0,0
"Anchorage, AK","11260",2017,365,286,73,5,1,0,0,155,62,31,1,0,166,0,133,65
"Ann Arbor, MI","11460",2017,365,284,78,3,0,0,0,119,61,40,0,0,240,0,125,0
"Appleton, WI","11540",2017,365,299,57,9,0,0,0,132,61,36,0,0,197,43,125,0
"Ardmore, OK","11620",2017,325,230,87,7,1,0,0,151,67,45,0,0,206,0,119,0
"Arkadelphia, AR","11660",2017,358,345,13,0,0,0,0,74,45,34,0,0,358,0,0,0
"Asheville, NC","11700",2017,365,217,105,38,5,0,0,183,105,47,0,0,165,118,82,0
"Ashtabula, OH","11780",2017,365,332,31,2,0,0,0,143,50,34,0,0,245,120,0,0
"Athens, OH","11900",2017,59,56,3,0,0,0,0,56,44,26,0,0,0,0,59,0
"Athens, TN","11940",2017,221,189,32,0,0,0,0,66,53,33,0,0,0,0,221,0
"Athens-Clarke County, GA","12020",2017,360,314,46,0,0,0,0,97,53,38,0,0,188,0,172,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2017,365,174,180,11,0,0,0,150,80,51,0,16,162,0,187,0
"Atlantic City-Hammonton, NJ","12100",2017,365,307,58,0,0,0,0,90,54,38,0,0,282,0,83,0
"Augusta-Richmond County, GA-SC","12260",2017,365,260,103,1,0,0,1,364,62,44,0,0,184,6,173,2
"Augusta-Waterville, ME","12300",2017,360,348,12,0,0,0,0,100,44,31,0,99,237,1,22,1
"Austin-Round Rock, TX","12420",2017,365,262,99,4,0,0,0,130,64,43,0,18,186,0,161,0
"Bakersfield, CA","12540",2017,365,76,150,115,24,0,0,197,140,84,0,0,253,0,99,13
"Baltimore-Columbia-Towson, MD","12580",2017,365,223,127,13,2,0,0,166,74,47,0,18,217,0,130,0
"Bangor, ME","12620",2017,348,331,17,0,0,0,0,80,44,31,0,0,184,0,160,4
"Baraboo, WI","12660",2017,364,319,45,0,0,0,0,87,53,36,0,0,179,0,184,1
"Barnstable Town, MA","12700",2017,358,332,21,5,0,0,0,150,48,37,0,0,350,0,8,0
"Bartlesville, OK","12780",2017,365,269,94,2,0,0,0,108,60,42,0,0,237,0,128,0
"Baton Rouge, LA","12940",2017,365,228,129,8,0,0,0,140,69,46,0,2,140,10,213,0
"Bay City, MI","13020",2017,362,338,24,0,0,0,0,80,45,27,0,0,0,0,362,0
"Beaumont-Port Arthur, TX","13140",2017,365,230,123,12,0,0,0,133,80,45,0,0,154,60,151,0
"Beaver Dam, WI","13180",2017,365,314,50,1,0,0,0,122,54,37,0,0,289,0,76,0
"Bellingham, WA","13380",2017,365,243,106,13,3,0,0,178,79,37,0,0,60,184,121,0
"Bemidji, MN","13420",2017,353,331,22,0,0,0,0,74,41,20,0,0,0,0,353,0
"Bend-Redmond, OR","13460",2017,365,292,45,2,15,8,3,365,81,20,0,0,0,0,365,0
"Bennington, VT","13540",2017,364,338,25,1,0,0,0,101,48,35,0,0,290,0,74,0
"Berlin, NH-VT","13620",2017,356,293,60,2,1,0,0,174,61,43,0,0,349,0,7,0
"Big Spring, TX","13700",2017,340,267,64,9,0,0,0,119,67,14,0,0,0,340,0,0
"Billings, MT","13740",2017,365,312,48,5,0,0,0,141,58,25,0,0,0,33,332,0
"Birmingham-Hoover, AL","13820",2017,365,139,216,10,0,0,0,129,76,55,0,2,89,73,200,1
"Bishop, CA","13860",2017,365,204,136,16,3,0,6,2060,87,48,0,0,288,0,23,54
"Bismarck, ND","13900",2017,364,305,56,2,1,0,0,198,58,38,0,4,257,1,96,6
"Blacksburg-Christiansburg-Radford, VA","13980",2017,365,216,76,46,27,0,0,200,137,44,0,0,200,165,0,0
"Bloomington, IL","14010",2017,364,285,79,0,0,0,0,100,58,41,0,0,207,0,157,0
"Bloomington, IN","14020",2017,358,297,60,1,0,0,0,101,56,40,0,0,210,0,148,0
"Boise City, ID","14260",2017,365,182,155,23,3,2,0,243,95,51,1,9,192,0,158,5
"Borger, TX","14420",2017,348,220,47,58,23,0,0,193,139,20,0,0,0,348,0,0
"Boston-Cambridge-Newton, MA-NH","14460",2017,365,178,182,5,0,0,0,147,68,51,0,4,107,0,254,0
"Boulder, CO","14500",2017,357,240,106,11,0,0,0,149,80,45,0,0,329,0,28,0
"Bowling Green, KY","14540",2017,365,271,94,0,0,0,0,87,56,42,0,0,169,0,196,0
"Bozeman, MT","14580",2017,365,288,74,2,1,0,0,152,66,23,2,18,0,0,345,0
"Brainerd, MN","14660",2017,364,338,26,0,0,0,0,90,48,32,0,0,201,0,163,0
"Branson, MO","14700",2017,285,267,18,0,0,0,0,74,48,38,0,0,237,0,48,0
"Bremerton-Silverdale, WA","14740",2017,360,342,13,5,0,0,0,144,35,15,0,0,0,0,360,0
"Bridgeport-Stamford-Norwalk, CT","14860",2017,365,267,82,12,4,0,0,179,74,42,0,10,174,0,181,0
"Brookings, SD","15100",2017,365,330,35,0,0,0,0,90,50,34,0,0,292,0,46,27
"Brownsville-Harlingen, TX","15180",2017,365,306,59,0,0,0,0,87,57,38,0,0,217,0,148,0
"Brunswick, GA","15260",2017,276,257,19,0,0,0,0,77,47,35,0,0,215,0,61,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2017,365,279,85,1,0,0,0,119,61,39,0,17,193,0,155,0
"Burlington-South Burlington, VT","15540",2017,365,342,23,0,0,0,0,74,47,35,0,6,291,0,67,1
"Butte-Silver Bow, MT","15580",2017,354,230,100,20,4,0,0,180,92,35,0,0,0,0,329,25
"Cadillac, MI","15620",2017,365,331,33,1,0,0,0,101,50,37,0,0,321,0,44,0
