"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2019,122,112,10,0,0,0,0,77,42,20,0,0,0,0,111,11
"Aberdeen, WA","10140",2019,352,348,4,0,0,0,0,57,35,20,0,0,0,0,352,0
"Adjuntas, PR","10260",2019,117,108,9,0,0,0,0,66,44,18,0,0,0,0,117,0
"Adrian, MI","10300",2019,358,286,72,0,0,0,0,90,58,39,0,0,192,0,166,0
"Akron, OH","10420",2019,365,278,84,3,0,0,0,115,61,43,0,0,180,1,184,0
"Albany, GA","10500",2019,356,236,118,2,0,0,0,107,63,40,0,0,0,0,356,0
"Albany, OR","10540",2019,365,280,83,2,0,0,0,104,62,28,0,0,0,0,365,0
"Albany-Schenectady-Troy, NY","10580",2019,365,322,43,0,0,0,0,92,53,37,0,0,254,0,111,0
"Albuquerque, NM","10740",2019,365,161,200,4,0,0,0,108,77,53,0,0,252,0,66,47
"Alexandria, LA","10780",2019,119,107,12,0,0,0,0,71,52,30,0,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2019,365,275,86,4,0,0,0,119,64,42,0,13,224,0,128,0
"Altoona, PA","11020",2019,354,281,73,0,0,0,0,92,60,41,0,0,211,2,141,0
"Amarillo, TX","11100",2019,365,259,96,10,0,0,0,119,69,44,0,0,293,45,27,0
"Americus, GA","11140",2019,238,211,27,0,0,0,0,97,54,39,0,0,238,0,0,0
"Anchorage, AK","11260",2019,365,262,92,7,4,0,0,160,70,31,5,0,0,0,255,105
"Ann Arbor, MI","11460",2019,365,292,73,0,0,0,0,88,58,40,0,0,241,0,124,0
"Appleton, WI","11540",2019,365,304,59,2,0,0,0,119,58,37,0,0,172,8,185,0
"Ardmore, OK","11620",2019,365,285,80,0,0,0,0,97,58,43,0,0,218,0,147,0
"Arkadelphia, AR","11660",2019,355,347,8,0,0,0,0,67,46,32,0,0,355,0,0,0
