"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2018,121,114,5,1,0,0,1,429,45,24,0,0,0,0,109,12
"Aberdeen, WA","10140",2018,365,344,17,1,3,0,0,163,39,22,0,0,0,0,365,0
"Adjuntas, PR","10260",2018,27,27,0,0,0,0,0,32,23,14,0,0,0,0,27,0
"Adrian, MI","10300",2018,344,275,65,4,0,0,0,115,66,38,0,0,221,0,123,0
"Akron, OH","10420",2018,365,256,108,1,0,0,0,105,64,42,0,0,171,0,194,0
"Albany, GA","10500",2018,357,293,63,1,0,0,0,137,57,30,0,0,0,0,357,0
"Albany, OR","10540",2018,273,243,25,5,0,0,0,122,51,24,0,0,0,0,273,0
"Albany-Schenectady-Troy, NY","10580",2018,365,288,74,3,0,0,0,119,60,38,0,0,233,0,132,0
"Albuquerque, NM","10740",2018,365,151,190,23,1,0,0,165,90,54,0,1,259,0,51,54
"Alexandria, LA","10780",2018,119,102,17,0,0,0,0,91,56,31,0,0,0,0,119,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2018,365,246,114,5,0,0,0,136,76,42,0,6,180,0,179,0
"Altoona, PA","11020",2018,362,296,65,1,0,0,0,132,59,38,0,0,239,4,119,0
"Amarillo, TX","11100",2018,365,224,112,28,1,0,0,161,93,47,0,0,277,68,20,0
"Americus, GA","11140",2018,241,219,22,0,0,0,0,80,50,34,0,0,241,0,0,0
"Anchorage, AK","11260",2018,365,293,68,3,1,0,0,151,61,30,1,0,145,0,163,56
"Ann Arbor, MI","11460",2018,365,281,78,6,0,0,0,150,66,40,0,0,234,0,131,0
"Appleton, WI","11540",2018,365,271,85,9,0,0,0,132,67,41,0,0,187,44,134,0
"Ardmore, OK","11620",2018,365,253,103,9,0,0,0,129,74,43,0,0,196,0,169,0
"Arkadelphia, AR","11660",2018,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,0
"Asheville, NC","11700",2018,365,234,101,24,6,0,0,199,90,46,0,0,174,100,91,0
"Ashtabula, OH","11780",2018,365,329,33,3,0,0,0,129,50,31,0,0,243,122,0,0
"Athens, OH","11900",2018,94,88,6,0,0,0,0,57,46,28,0,0,0,0,94,0
"Athens, TN","11940",2018,356,316,40,0,0,0,0,67,51,29,0,0,0,0,356,0
"Athens-Clarke County, GA","12020",2018,332,262,68,2,0,0,0,105,58,39,0,0,151,0,181,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2018,365,209,146,10,0,0,0,133,77,48,0,11,157,0,197,0
"Atlantic City-Hammonton, NJ","12100",2018,365,327,37,1,0,0,0,112,51,37,0,0,250,0,115,0
"Augusta-Richmond County, GA-SC","12260",2018,365,252,107,6,0,0,0,150,62,41,0,0,165,23,177,0
"Augusta-Waterville, ME","12300",2018,360,344,16,0,0,0,0,90,46,30,0,114,217,1,25,3
"Austin-Round Rock, TX","12420",2018,365,239,117,9,0,0,0,115,67,44,0,15,156,0,193,1
"Bakersfield, CA","12540",2018,365,65,170,103,27,0,0,190,142,84,0,0,246,0,106,13
"Baltimore-Columbia-Towson, MD","12580",2018,365,208,141,16,0,0,0,150,80,47,0,10,167,6,182,0
"Bangor, ME","12620",2018,365,337,28,0,0,0,0,97,49,32,0,0,197,0,164,4
